poiid,title,address,lon,lat,category,checkin_user_num,city,checkin_num,checkin_ave
B2094655D664AAFF449A,科学园派出所科苑社区警务室,,118.849,31.9356,生活娱乐,1,0025,1,1
B2094655D664AAFF449B,科苑公寓,兴民北路18,118.849,31.9348,住宅区,6,0025,15,2.5
B2094655D664ABF4409E,苏果平价店(文靖路),文靖路399,118.851,31.9606,便民商店/便利店,55,0025,144,2.618181818
B2094655D664ABF4409F,汇景新苑,文靖路377号,118.85,31.9608,住宅区,144,0025,862,5.986111111
B2094655D664ABF8409D,金箔集团南京鑫元机电工业区,科宁路268,118.852,31.9237,产业园区,4,0025,94,23.5
B2094655D664ABF8419C,南京奥赛康医药集团(科建路),科建路699号,118.868,31.9321,公司,15,0025,31,2.066666666
B2094655D664ABF8439A,宁电馨苑,南京市江宁区兴民北路1号,118.851,31.9363,住宅区,26,0025,172,6.615384615
B2094655D664ABF8449D,兴民工业园,科苑路128号,118.853,31.9314,产业园区,2,0025,2,1
B2094655D664ABF8469E,南京光电仪器产业有限公司,开源路168号,118.857,31.9277,公司,5,0025,5,1
B2094655D664ABF84798,DORON,,118.868,31.9251,公司,6,0025,6,1
B2094655D664ABF84799,南京五洲制冷集团公司,天印大道1529,118.866,31.9362,公司,6,0025,11,1.833333333
B2094655D664ABF8479A,南京义乌小商品城A区,江宁区秣陵街道天元东路388号,118.877,31.9396,小商品市场,260,0025,411,1.58076923
B2094655D664ABF8489A,南京江宁高新技术创业服务中心,,118.859,31.9366,公司,6,0025,6,1
B2094655D664ABF8489E,中圣集团(诚信大道),诚信大道2111,118.863,31.9184,公司,6,0025,6,1
B2094655D664ABF8489F,江苏舜天服饰有限公司,诚信大道2099,118.861,31.9169,公司,5,0025,14,2.8
B2094655D664ABF8499C,航天晨光股份有限公司(天元中路),,118.823,31.9284,公司,7,0025,7,1
B2094655D664ABF9409F,方山派出所,方山街道,118.868,31.9161,警察局,28,0025,35,1.25
B2094655D664ABF9419D,南京市上元中学,江宁区天印大道701,118.858,31.9604,中学,53,0025,107,2.018867924
B2094655D664ABF9419F,书香名苑,江宁区天印大道388号,118.865,31.9398,住宅区,82,0025,347,4.231707317
B2094655D664ABF94392,中国银行南京江宁科学园支行,江宁区竹山路359号(近新亭路),118.846,31.9352,银行,12,0025,13,1.083333333
B2094655D664ABF9439E,万欣花园,竹山路378,118.845,31.9352,住宅区,77,0025,384,4.987012987
B2094655D664ABF9449A,中国移动通信集团江苏有限公司江宁分公司,竹山路339,118.846,31.9357,公司,8,0025,11,1.375
B2094655D664ABF9469F,东山派出所,竹山电子街天泰路2号,118.848,31.9361,警察局,27,0025,74,2.74074074
B2094655D664ABF94798,北京广播学院南广学院,天印大道1399号,118.866,31.9413,高等院校,9,0025,11,1.222222222
